timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,change
2026-02-07 10:00:00,0.0004018,0.0004032,0.0003983,0.0004009,252603954.0,1770461999999,101164.6179287,1676,118844340,47615.3670768,0,1MBABYDOGEUSDT,-0.22
2026-02-07 11:00:00,0.0004009,0.000401,0.0003983,0.0004001,126516745.0,1770465599999,50564.7126325,1304,55835540,22316.7083419,0,1MBABYDOGEUSDT,-0.2
2026-02-07 12:00:00,0.0004,0.0004119,0.0003994,0.0004072,548516589.0,1770469199999,223231.1895447,3057,315650945,128409.7166726,0,1MBABYDOGEUSDT,1.8
2026-02-07 13:00:00,0.0004075,0.0004086,0.0004012,0.0004032,224602253.0,1770472799999,90743.8428194,1530,120248822,48596.3943141,0,1MBABYDOGEUSDT,-1.06
2026-02-07 14:00:00,0.0004034,0.0004043,0.0003968,0.0003988,337038580.0,1770476399999,134994.9561912,1433,94965532,38074.3009498,0,1MBABYDOGEUSDT,-1.14
2026-02-07 15:00:00,0.0003988,0.0004067,0.0003974,0.0004045,342877264.0,1770479999999,137947.0469143,1794,168820893,67985.1687025,0,1MBABYDOGEUSDT,1.43
2026-02-07 16:00:00,0.0004045,0.0004127,0.0004025,0.0004032,1662712891.0,1770483599999,678316.1709738,7408,861215380,351550.4865730,0,1MBABYDOGEUSDT,-0.32
2026-02-07 17:00:00,0.0004033,0.0004067,0.000401,0.0004055,176860988.0,1770487199999,71397.3792705,1297,82964456,33512.5631736,0,1MBABYDOGEUSDT,0.55
2026-02-07 18:00:00,0.0004052,0.0004156,0.0004052,0.0004124,241906149.0,1770490799999,99590.0636013,1787,157546065,64909.2910082,0,1MBABYDOGEUSDT,1.78
2026-02-07 19:00:00,0.0004124,0.0004125,0.0004087,0.0004093,113350671.0,1770494399999,46559.4066999,1389,41302526,16963.1305797,0,1MBABYDOGEUSDT,-0.75
2026-02-07 20:00:00,0.0004092,0.0004131,0.0004078,0.0004119,152101435.0,1770497999999,62425.075938,1267,79188185,32503.1005273,0,1MBABYDOGEUSDT,0.66
