timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,change
2026-02-07 10:00:00,0.0503,0.05069,0.04953,0.04981,2506052.0,1770461999999,125354.3685,2245,1055638,52804.7804800,0,1000RATSUSDT,-0.97
2026-02-07 11:00:00,0.04982,0.05053,0.0498,0.05015,1718614.0,1770465599999,86167.49208,1613,874113,43821.6239100,0,1000RATSUSDT,0.66
2026-02-07 12:00:00,0.05019,0.05156,0.05019,0.05137,1974974.0,1770469199999,100288.72947,1957,1077420,54750.6366700,0,1000RATSUSDT,2.35
2026-02-07 13:00:00,0.05137,0.0514,0.05008,0.05031,3140504.0,1770472799999,158848.96283,1992,1536313,77691.3844600,0,1000RATSUSDT,-2.06
2026-02-07 14:00:00,0.05026,0.05037,0.04928,0.04973,3169685.0,1770476399999,157948.12343,2174,1074992,53499.7019600,0,1000RATSUSDT,-1.05
2026-02-07 15:00:00,0.04974,0.05001,0.04956,0.04976,2345762.0,1770479999999,116738.88305,1873,1073783,53448.6409000,0,1000RATSUSDT,0.04
2026-02-07 16:00:00,0.04977,0.05091,0.04941,0.04985,6847085.0,1770483599999,342116.42102,3708,3501839,174906.6221000,0,1000RATSUSDT,0.16
2026-02-07 17:00:00,0.04984,0.04994,0.04958,0.04962,788838.0,1770487199999,39251.6557,858,324759,16158.4964900,0,1000RATSUSDT,-0.44
2026-02-07 18:00:00,0.04961,0.04977,0.04913,0.04955,2289173.0,1770490799999,113252.04781,1532,1302781,64463.1758700,0,1000RATSUSDT,-0.12
2026-02-07 19:00:00,0.04955,0.04989,0.04932,0.0494,1657980.0,1770494399999,82355.4723,1685,754563,37501.7483700,0,1000RATSUSDT,-0.3
2026-02-07 20:00:00,0.04941,0.04941,0.04886,0.04901,1520628.0,1770497999999,74658.73412,1152,770576,37825.9396500,0,1000RATSUSDT,-0.81
2026-02-07 21:00:00,0.04902,0.04902,0.0487,0.0489,577545.0,1770501599999,28213.47258,828,251660,12293.2566300,0,1000RATSUSDT,-0.24
