timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,range,change
2026-02-07 11:00:00,0.082,0.0821,0.0816,0.082,642081.7,1770465599999,52555.93625,836,323107.7,26447.6212600,0,LAYERUSDT,0.0005000000000000004,0.0
2026-02-07 12:00:00,0.0819,0.0842,0.0818,0.0828,2238453.5,1770469199999,185805.57315,2284,1129534.6,93677.4650700,0,LAYERUSDT,0.0023999999999999994,1.1
2026-02-07 13:00:00,0.0829,0.0832,0.0822,0.0826,836184.4,1770472799999,69204.30541,1283,406430.1,33628.4089200,0,LAYERUSDT,0.0010000000000000009,-0.36
2026-02-07 14:00:00,0.0826,0.0828,0.0816,0.0818,943331.4,1770476399999,77452.34197,1180,470948.0,38680.6080800,0,LAYERUSDT,0.0011999999999999927,-0.97
2026-02-07 15:00:00,0.0817,0.0837,0.0815,0.0832,1404338.6,1770479999999,116260.21253,1815,768282.2,63512.2444700,0,LAYERUSDT,0.0021999999999999936,1.84
2026-02-07 16:00:00,0.0832,0.0853,0.0829,0.0835,10335281.5,1770483599999,868069.68614,8543,5299125.5,445359.7606300,0,LAYERUSDT,0.0023999999999999994,0.36
2026-02-07 17:00:00,0.0836,0.0842,0.0834,0.0838,746210.3,1770487199999,62472.05458,1336,275003.1,23005.7547400,0,LAYERUSDT,0.0007999999999999952,0.24
2026-02-07 18:00:00,0.0838,0.0854,0.0837,0.0848,1273499.5,1770490799999,107804.28453,1567,662959.5,56071.5664400,0,LAYERUSDT,0.001700000000000007,1.19
2026-02-07 19:00:00,0.0849,0.085,0.0843,0.0844,645482.1,1770494399999,54632.80172,1048,341851.5,28949.1234200,0,LAYERUSDT,0.0007000000000000062,-0.59
2026-02-07 20:00:00,0.0844,0.085,0.0842,0.0847,745756.4,1770497999999,63039.23063,1092,404739.1,34228.3623600,0,LAYERUSDT,0.000800000000000009,0.36
2026-02-07 21:00:00,0.0848,0.0848,0.084,0.0843,608182.3,1770501599999,51352.89345,1115,281820.3,23808.1844000,0,LAYERUSDT,0.0007999999999999952,-0.59
2026-02-07 22:00:00,0.0843,0.0847,0.0842,0.0843,596536.0,1770505199999,50401.34542,912,290757.0,24574.3262300,0,LAYERUSDT,0.0005000000000000004,0.0
2026-02-07 23:00:00,0.0843,0.0845,0.0835,0.0842,1078796.6,1770508799999,90703.4833,1263,536004.9,45079.1659300,0,LAYERUSDT,0.0010000000000000009,-0.12
2026-02-08 00:00:00,0.0843,0.0846,0.0831,0.0834,1442065.0,1770512399999,121047.03988,1394,657185.5,55216.0184100,0,LAYERUSDT,0.0015000000000000013,-1.07
2026-02-08 01:00:00,0.0835,0.0852,0.0834,0.0851,2020053.1,1770515999999,170392.0217,1552,1265929.4,106723.7762500,0,LAYERUSDT,0.001799999999999996,1.92
2026-02-08 02:00:00,0.085,0.0867,0.0849,0.0857,4539445.0,1770519599999,389056.25644,3330,2229002.2,190945.5667800,0,LAYERUSDT,0.001799999999999996,0.82
2026-02-08 03:00:00,0.0857,0.0858,0.0841,0.0842,1820410.8,1770523199999,154538.47485,1717,558217.6,47432.7825200,0,LAYERUSDT,0.001700000000000007,-1.75
2026-02-08 04:00:00,0.0842,0.0844,0.0835,0.0844,1323602.7,1770526799999,111248.68656,1571,585378.8,49232.9897100,0,LAYERUSDT,0.000899999999999998,0.24
2026-02-08 05:00:00,0.0844,0.0846,0.084,0.0842,809769.2,1770530399999,68276.19443,1123,360720.0,30447.4741600,0,LAYERUSDT,0.0005999999999999894,-0.24
2026-02-08 06:00:00,0.0842,0.0844,0.0833,0.0834,1517267.2,1770533999999,127188.71827,1640,680299.8,57037.3095000,0,LAYERUSDT,0.0011000000000000038,-0.95
2026-02-08 07:00:00,0.0835,0.0836,0.0823,0.0831,1694031.5,1770537599999,140455.32131,2011,785844.4,65116.6490900,0,LAYERUSDT,0.0012999999999999956,-0.48
2026-02-08 08:00:00,0.0831,0.0843,0.0827,0.0841,1748519.2,1770541199999,146057.49553,1862,937335.6,78341.4261700,0,LAYERUSDT,0.0016000000000000042,1.2
2026-02-08 09:00:00,0.084,0.0844,0.0835,0.0839,936559.2,1770544799999,78605.56479,1526,473330.3,39734.3405400,0,LAYERUSDT,0.000899999999999998,-0.12
