symbol,total_candles,avg_volume,avg_volume_usd,volatility,max_change,min_change,price_range,start_price,end_price,total_volume,total_volume_usd
BTCUSDT,168,8054.420107142857,551857127.0421178,0.5750905260932118,1.55,-1.91,7219.0,67935.1,69593.4,1353142.578,92711997343.0758
BCHUSDT,168,13134.562357142855,6931896.2376107145,0.7149438314052667,2.26,-2.1,80.05000000000007,517.87,566.34,2206606.476,1164558567.9186
ETHUSDT,168,240331.45686309523,486055798.5472388,0.7300227110731794,2.2,-2.15,258.23,2017.52,2073.5,40375684.753,81657374155.93613
TRXUSDT,168,7257828.005952381,2016402.634937262,0.19910363718541643,0.46,-0.61,0.009460000000000024,0.2744,0.28242,1219315105.0,338755642.66946
XRPUSDT,168,34129134.270238094,47941983.22182463,0.7350022525371426,2.49,-1.65,0.12749999999999995,1.3915,1.4463,5733694557.4,8054253181.266539
LTCUSDT,168,71619.48963690476,3849451.508080595,0.6313277086020402,1.67,-2.1,5.0,53.19,55.38,12032074.259,646707853.35754
XLMUSDT,168,10354457.80357143,1649113.6423714284,0.7276476952327484,2.13,-2.68,0.02009999999999998,0.15639,0.16972,1739548911.0,277051091.9184
ETCUSDT,168,139139.8730952381,1169945.8156282739,0.6513591737036869,1.93,-1.76,0.9620000000000006,8.555,8.694,23375498.68,196550897.02555
LINKUSDT,168,681848.3360714285,5869171.719721905,0.7113156843845353,2.01,-1.71,0.9250000000000007,8.65,8.932,114550520.46,986020848.91328
DASHUSDT,168,61391.84144642856,2211008.0494386908,1.1483036033759062,4.21,-3.41,8.310000000000002,35.37,38.87,10313829.362999998,371449352.30570006
XMRUSDT,168,6145.359309523809,2067600.40147869,1.0425482588208304,2.87,-3.07,55.20999999999998,325.32,356.02,1032420.364,347356867.4484199
ADAUSDT,168,25931787.19047619,6894787.218430953,0.6930008732272264,1.84,-1.58,0.029500000000000026,0.267,0.2785,4356540248.0,1158324252.6964002
XTZUSDT,168,647077.2285714286,262538.5710130953,0.7344781612652174,2.45,-1.93,0.044999999999999984,0.409,0.413,108708974.4,44106479.93020001
ZECUSDT,168,69240.52447023809,16835114.653094284,1.3274714456897958,5.8,-4.01,69.5,227.22,281.71,11632408.111,2828299261.71984
BNBUSDT,168,32864.220773809524,20392563.915992264,0.5893749830856387,1.61,-1.48,68.5,635.74,627.13,5521189.09,3425950737.8867
ONTUSDT,168,1707622.0267857143,77491.7222985119,0.6864290320798804,1.96,-1.78,0.0058,0.046,0.0474,286880500.5,13018609.34615
IOTAUSDT,168,2912984.8898809524,198361.03987208332,0.7176396436320577,2.15,-1.85,0.009499999999999995,0.0705,0.0696,489381461.5,33324654.69851
ATOMUSDT,168,462808.9457142858,911304.5486166073,0.7008722721228344,2.95,-1.68,0.2689999999999997,1.933,2.13,77751902.88000001,153099164.16759002
