SYMBOL,TIMESTAMP,TYPE,PRICE,RSI,SMA200,ATR,REASON,PROFIT
EURUSD,2024-03-15 11:00,WAIT,1.0893,45.8,0,0,NO_SIGNAL: RSI=45.8 | SMA200=1.09,
EURUSD,2024-03-15 12:00,WAIT,1.0897,49.1,0,0,NO_SIGNAL: RSI=49.1 | SMA200=1.09,
EURUSD,2024-03-15 13:00,WAIT,1.0890,43.4,0,0,NO_SIGNAL: RSI=43.4 | SMA200=1.09,
EURUSD,2024-03-15 14:00,WAIT,1.0890,43.4,0,0,NO_SIGNAL: RSI=43.4 | SMA200=1.09,
EURUSD,2024-03-15 15:00,WAIT,1.0892,45.8,0,0,NO_SIGNAL: RSI=45.8 | SMA200=1.09,
EURUSD,2024-03-15 16:00,WAIT,1.0891,44.8,0,0,NO_SIGNAL: RSI=44.8 | SMA200=1.09,
EURUSD,2024-03-15 17:00,WAIT,1.0890,43.8,0,0,NO_SIGNAL: RSI=43.8 | SMA200=1.09,
EURUSD,2024-03-15 18:00,WAIT,1.0887,41.7,0,0,NO_SIGNAL: RSI=41.7 | SMA200=1.09,
EURUSD,2024-03-15 19:00,WAIT,1.0893,48.3,0,0,NO_SIGNAL: RSI=48.3 | SMA200=1.09,
EURUSD,2024-03-15 20:00,WAIT,1.0892,47.2,0,0,NO_SIGNAL: RSI=47.2 | SMA200=1.09,
EURUSD,2024-03-15 21:00,WAIT,1.0892,47.2,0,0,NO_SIGNAL: RSI=47.2 | SMA200=1.09,
EURUSD,2024-03-15 22:00,WAIT,1.0896,51.3,0,0,NO_SIGNAL: RSI=51.3 | SMA200=1.09,
EURUSD,2024-03-15 23:00,WAIT,1.0896,51.3,0,0,NO_SIGNAL: RSI=51.3 | SMA200=1.09,
EURUSD,2024-03-18 01:00,WAIT,1.0889,43.5,0,0,NO_SIGNAL: RSI=43.5 | SMA200=1.09,
EURUSD,2024-03-18 02:00,WAIT,1.0892,47.7,0,0,NO_SIGNAL: RSI=47.7 | SMA200=1.09,
EURUSD,2024-03-18 03:00,WAIT,1.0892,47.7,0,0,NO_SIGNAL: RSI=47.7 | SMA200=1.09,
EURUSD,2024-03-18 04:00,WAIT,1.0889,43.9,0,0,NO_SIGNAL: RSI=43.9 | SMA200=1.09,
EURUSD,2024-03-18 05:00,WAIT,1.0891,47.0,0,0,NO_SIGNAL: RSI=47.0 | SMA200=1.09,
EURUSD,2024-03-18 06:00,WAIT,1.0891,47.0,0,0,NO_SIGNAL: RSI=47.0 | SMA200=1.09,
EURUSD,2024-03-18 07:00,WAIT,1.0891,47.0,0,0,NO_SIGNAL: RSI=47.0 | SMA200=1.09,
EURUSD,2024-03-18 08:00,WAIT,1.0894,51.9,0,0,NO_SIGNAL: RSI=51.9 | SMA200=1.09,
EURUSD,2024-03-18 09:00,WAIT,1.0897,54.9,0,0,NO_SIGNAL: RSI=54.9 | SMA200=1.09,
EURUSD,2024-03-18 10:00,WAIT,1.0903,61.4,0,0,NO_SIGNAL: RSI=61.4 | SMA200=1.09,
EURUSD,2024-03-18 11:00,WAIT,1.0904,62.6,0,0,NO_SIGNAL: RSI=62.6 | SMA200=1.09,
EURUSD,2024-03-18 12:00,WAIT,1.0906,64.9,0,0,NO_SIGNAL: RSI=64.9 | SMA200=1.09,
EURUSD,2024-03-18 13:00,WAIT,1.0894,48.8,0,0,NO_SIGNAL: RSI=48.8 | SMA200=1.09,
EURUSD,2024-03-18 14:00,WAIT,1.0892,46.4,0,0,NO_SIGNAL: RSI=46.4 | SMA200=1.09,
EURUSD,2024-03-18 15:00,WAIT,1.0889,42.9,0,0,NO_SIGNAL: RSI=42.9 | SMA200=1.09,
EURUSD,2024-03-18 16:00,WAIT,1.0889,42.9,0,0,NO_SIGNAL: RSI=42.9 | SMA200=1.09,
EURUSD,2024-03-18 17:00,WAIT,1.0877,33.2,0,0,NO_SIGNAL: RSI=33.2 | SMA200=1.09,
EURUSD,2024-03-18 18:00,WAIT,1.0872,30.3,0,0,NO_SIGNAL: RSI=30.3 | SMA200=1.09,
EURUSD,2024-03-18 19:00,WAIT,1.0874,33.4,0,0,NO_SIGNAL: RSI=33.4 | SMA200=1.09,
EURUSD,2024-03-18 20:00,WAIT,1.0872,31.9,0,0,NO_SIGNAL: RSI=31.9 | SMA200=1.09,
EURUSD,2024-03-18 21:00,WAIT,1.0875,36.6,0,0,NO_SIGNAL: RSI=36.6 | SMA200=1.09,
EURUSD,2024-03-18 22:00,WAIT,1.0877,38.2,0,0,NO_SIGNAL: RSI=38.2 | SMA200=1.09,
EURUSD,2024-03-18 23:00,WAIT,1.0874,36.3,0,0,NO_SIGNAL: RSI=36.3 | SMA200=1.09,
EURUSD,2024-03-19 00:00,WAIT,1.0877,39.6,0,0,NO_SIGNAL: RSI=39.6 | SMA200=1.09,
EURUSD,2024-03-19 01:00,WAIT,1.0873,36.5,0,0,NO_SIGNAL: RSI=36.5 | SMA200=1.09,
EURUSD,2024-03-19 02:00,WAIT,1.0871,34.6,0,0,NO_SIGNAL: RSI=34.6 | SMA200=1.09,
EURUSD,2024-03-19 03:00,WAIT,1.0877,42.7,0,0,NO_SIGNAL: RSI=42.7 | SMA200=1.09,
EURUSD,2024-03-19 04:00,WAIT,1.0878,44.1,0,0,NO_SIGNAL: RSI=44.1 | SMA200=1.09,
EURUSD,2024-03-19 05:00,WAIT,1.0874,40.7,0,0,NO_SIGNAL: RSI=40.7 | SMA200=1.09,
EURUSD,2024-03-19 06:00,WAIT,1.0867,35.0,0,0,NO_SIGNAL: RSI=35.0 | SMA200=1.09,
EURUSD,2024-03-19 07:00,WAIT,1.0871,39.6,0,0,NO_SIGNAL: RSI=39.6 | SMA200=1.09,
EURUSD,2024-03-19 08:00,WAIT,1.0857,30.3,0,0,NO_SIGNAL: RSI=30.3 | SMA200=1.09,
EURUSD,2024-03-19 09:00,WAIT,1.0850,26.9,0,0,NO_SIGNAL: RSI=26.9 | SMA200=1.09,
EURUSD,2024-03-19 10:00,WAIT,1.0839,22.8,0,0,NO_SIGNAL: RSI=22.8 | SMA200=1.09,
EURUSD,2024-03-19 11:00,WAIT,1.0847,31.6,0,0,NO_SIGNAL: RSI=31.6 | SMA200=1.09,
EURUSD,2024-03-19 12:00,WAIT,1.0853,37.1,0,0,NO_SIGNAL: RSI=37.1 | SMA200=1.09,
